age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
71;0;;;;;;;;;;;;;;;;;;;1;1;1;1
35;0;5;4;4;5;18;4,5;3;3;5;3;5;3;4;3;3;1;33;3,3;2;3;3;2
79;0;;;;;;;;;;;;;;;;;;;3;1;3;
69;1;3;4;5;5;17;4,25;5;3;5;5;5;3;4;4;4;4;42;4,2;2;1;2;
66;0;5;5;4;4;18;4,5;4;3;5;4;5;5;4;4;4;2;40;4;3;3;3;
34;1;4;3;4;5;16;4;3;2;3;3;5;3;2;3;4;1;29;2,9;;;;
48;0;;;;;;;;;;;;;;;;;;;3;;;
55;1;3;4;2;5;14;3,5;4;2;5;3;5;1;4;4;4;4;36;3,6;2;1;2;2
68;1;;;;;;;;;;;;;;;;;;;1;2;2;
77;0;3;3;4;4;14;3,5;4;4;1;5;5;5;5;5;5;2;41;4,1;3;3;3;
66;1;3;3;3;4;13;3,25;3;3;3;4;4;3;3;3;3;2;31;3,1;2;2;2;
55;0;3;1;4;5;13;3,25;1;1;1;1;2;1;2;1;1;1;12;1,2;1;1;1;1
46;1;2;2;3;3;10;2,5;3;2;3;3;4;3;3;3;4;2;30;3;2;2;2;
61;0;5;4;5;5;19;4,75;2;2;3;3;4;3;3;2;3;3;28;2,8;1;1;1;
68;1;5;5;5;5;20;5;5;5;5;5;5;2;5;3;5;2;42;4,2;3;3;3;3
66;0;2;3;3;4;12;3;1;2;3;3;4;2;2;3;3;2;25;2,5;1;1;1;
47;1;4;5;5;4;18;4,5;3;3;4;2;5;3;4;4;3;2;33;3,3;;;;
36;0;1;2;4;3;10;2,5;2;1;1;2;3;1;1;1;2;1;15;1,5;1;;;
71;1;;;;;;;;;;;;;;;;;;;3;3;3;3
34;0;4;3;3;5;15;3,75;1;1;2;2;3;2;3;2;3;1;20;2;1;1;1;1
44;1;;;;;;;;;;;;;;;;;;;1;;;
78;0;;;;;;;;;;;;;;;;;;;1;1;1;
57;1;2;4;3;4;13;3,25;4;4;4;2;5;3;4;3;3;2;34;3,4;3;3;2;2
63;1;;;;;;;;;;;;;;;;;;;3;3;3;3
72;0;;;;;;;;;;;;;;;;;;;3;;;
56;0;3;3;4;5;15;3,75;3;1;2;3;5;2;2;1;1;1;21;2,1;1;1;1;
71;1;4;4;4;4;16;4;3;2;3;2;4;3;3;2;4;2;28;2,8;3;2;2;2
50;0;4;5;5;5;19;4,75;5;2;5;4;5;5;5;5;5;3;44;4,4;3;3;3;3
39;0;4;5;4;5;18;4,5;1;1;1;2;5;1;1;1;1;1;15;1,5;;;;
65;0;;;;;;;;;;;;;;;;;;;1;2;2;
28;0;;;;;;;;;;;;;;;;;;;3;2;3;
68;0;3;2;2;4;11;2,75;5;3;5;2;5;2;4;4;4;2;36;3,6;1;1;1;1
45;0;;;;;;;;;;;;;;;;;;;1;3;3;3
37;1;4;4;4;5;17;4,25;2;2;3;2;3;2;3;2;4;1;24;2,4;;;;
57;1;4;4;3;4;15;3,75;3;3;4;3;5;2;3;2;3;2;30;3;;;;
65;1;5;5;5;1;16;4;5;4;5;5;5;5;5;5;5;4;48;4,8;3;3;3;
36;0;4;4;4;5;17;4,25;5;4;2;2;5;5;4;4;5;2;38;3,8;2;2;2;2
46;0;;;;;;;;;;;;;;;;;;;3;3;3;
81;1;;;;;;;;;;;;;;;;;;;1;2;2;2
58;0;;;;;;;;;;;;;;;;;;;;;;
57;0;4;4;5;5;18;4,5;5;5;5;5;5;4;5;5;4;5;48;4,8;3;3;3;3
55;0;;;;;;;;;;;;;;;;;;;2;;;
47;0;;;;;;;;;;;;;;;;;;;2;1;1;3
42;0;3;2;2;2;9;2,25;5;5;5;4;5;4;5;5;3;4;45;4,5;3;;;
55;0;;;;;;;;;;;;;;;;;;;3;3;3;3
69;1;;;;;;;;;;;;;;;;;;;2;3;3;
36;0;;;;;;;;;;;;;;;;;;;1;1;1;1
38;0;;;;;;;;;;;;;;;;;;;1;1;1;1
64;1;4;4;3;4;15;3,75;4;3;3;4;4;3;5;3;4;3;36;3,6;3;3;3;3
25;1;5;5;4;5;19;4,75;4;1;3;2;4;4;2;4;4;3;31;3,1;1;;;
54;0;2;4;2;4;12;3;2;2;2;5;5;1;5;1;5;1;29;2,9;1;1;1;1
37;0;2;2;2;5;11;2,75;2;1;1;3;4;1;2;1;1;1;17;1,7;1;1;1;
50;0;4;5;3;5;17;4,25;5;5;5;5;5;4;5;5;5;2;46;4,6;;;;
40;1;4;4;4;4;16;4;2;2;1;3;3;1;2;1;2;1;18;1,8;;;;
42;1;;;;;;;;;;;;;;;;;;;;;;
55;1;;;;;;;;;;;;;;;;;;;1;1;1;1
40;1;;;;;;;;;;;;;;;;;;;2;2;2;
64;1;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;;;;
27;1;;;;;;;;;;;;;;;;;;;3;3;3;
38;1;;;;;;;;;;;;;;;;;;;;;;
51;0;;;;;;;;;;;;;;;;;;;;;;
47;0;5;5;5;5;20;5;5;5;5;4;5;2;5;5;5;5;46;4,6;1;1;;1
65;1;4;4;5;4;17;4,25;5;3;4;2;5;2;4;2;3;2;32;3,2;3;3;3;3
26;1;2;4;4;4;14;3,5;5;2;5;5;5;2;2;4;3;1;34;3,4;;;;
70;1;3;2;4;4;13;3,25;2;3;2;4;5;3;4;2;3;2;30;3;3;;;
71;1;4;3;5;5;17;4,25;3;2;5;2;5;2;2;5;1;3;30;3;2;3;2;
59;0;4;3;3;5;15;3,75;4;3;5;5;5;2;4;2;4;2;36;3,6;;;;
30;1;;;;;;;;;;;;;;;;;;;3;2;2;2
55;0;;;;;;;;;;;;;;;;;;;3;3;3;3
47;0;;;;;;;;;;;;;;;;;;;2;2;2;
35;1;4;5;5;5;19;4,75;2;1;2;1;3;1;2;1;1;1;15;1,5;;;;
63;1;3;3;3;4;13;3,25;2;2;4;3;3;1;4;2;4;2;27;2,7;3;3;3;2
58;1;5;3;5;5;18;4,5;1;2;2;3;3;1;2;2;2;1;19;1,9;1;1;1;1
61;1;4;4;4;4;16;4;5;4;4;4;4;3;3;2;4;1;34;3,4;;;;
54;0;4;5;5;5;19;4,75;5;1;4;1;5;3;1;2;4;1;27;2,7;1;1;1;1
56;1;5;5;5;5;20;5;5;4;4;4;5;3;4;4;4;2;39;3,9;3;3;3;
50;0;3;3;3;3;12;3;4;5;5;2;5;4;4;5;1;1;36;3,6;3;3;3;3
51;0;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;3;1;2;1
47;0;3;3;3;3;12;3;3;2;3;3;3;2;2;2;2;2;24;2,4;3;2;2;2
55;1;;;;;;;;;;;;;;;;;;;;;;
39;0;4;4;5;4;17;4,25;4;1;1;3;3;1;2;2;4;1;22;2,2;1;1;1;1
43;0;;;;;;;;;;;;;;;;;;;2;2;2;1
43;0;2;3;3;4;12;3;2;1;1;2;3;1;2;1;2;1;16;1,6;;;;
56;0;;;;;;;;;;;;;;;;;;;3;3;3;3
53;0;5;4;4;2;15;3,75;2;2;2;2;4;1;2;1;2;1;19;1,9;;;;
61;1;;;;;;;;;;;;;;;;;;;1;2;1;1
34;0;;;;;;;;;;;;;;;;;;;3;;;
64;0;4;4;3;5;16;4;5;4;4;4;4;3;4;2;5;2;37;3,7;;;;
66;1;2;4;4;4;14;3,5;5;4;5;5;5;3;5;4;5;1;42;4,2;2;1;1;2
26;1;2;2;2;3;9;2,25;3;4;4;3;5;3;4;3;3;1;33;3,3;;;;
37;0;;;;;;;;;;;;;;;;;;;1;1;;1
65;1;;;;;;;;;;;;;;;;;;;2;1;1;1
72;0;;;;;;;;;;;;;;;;;;;3;3;3;2
42;1;;;;;;;;;;;;;;;;;;;;;;
48;0;2;2;2;3;9;2,25;4;3;4;3;5;3;3;3;3;2;33;3,3;3;3;3;3
74;1;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;;;;
60;0;3;4;4;4;15;3,75;2;2;4;4;5;2;3;2;2;2;28;2,8;1;1;1;1
47;1;;;;;;;;;;;;;;;;;;;1;;;
46;1;;;;;;;;;;;;;;;;;;;2;2;2;
67;0;;;;;;;;;;;;;;;;;;;3;3;3;
57;1;;;;;;;;;;;;;;;;;;;3;2;2;
56;1;5;5;5;5;20;5;5;3;4;3;4;3;4;2;4;2;34;3,4;;;;
61;0;;;;;;;;;;;;;;;;;;;;;;
49;1;;;;;;;;;;;;;;;;;;;1;1;1;
39;1;;;;;;;;;;;;;;;;;;;3;;;
40;1;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;;;;
51;0;;;;;;;;;;;;;;;;;;;2;2;2;
64;0;;;;;;;;;;;;;;;;;;;1;1;2;1
52;0;;;;;;;;;;;;;;;;;;;;;;
42;1;;;;;;;;;;;;;;;;;;;;;;
41;0;;;;;;;;;;;;;;;;;;;1;1;1;1
37;1;3;3;3;3;12;3;3;4;4;4;4;4;3;4;3;3;36;3,6;;;;
73;0;4;4;3;4;15;3,75;2;4;3;4;4;1;4;3;3;1;29;2,9;1;1;1;1
55;1;;;;;;;;;;;;;;;;;;;3;3;3;3
52;0;4;1;4;5;14;3,5;4;4;4;4;4;4;4;4;2;4;38;3,8;;;;
71;1;4;5;5;5;19;4,75;4;4;5;4;4;3;4;5;3;4;40;4;2;1;2;2
66;0;;;;;;;;;;;;;;;;;;;1;1;1;1
58;1;4;3;3;3;13;3,25;5;5;5;5;5;4;5;5;5;2;46;4,6;3;3;3;3
64;0;;;;;;;;;;;;;;;;;;;3;3;3;3
58;0;;;;;;;;;;;;;;;;;;;3;3;3;3
28;1;5;4;4;2;15;3,75;3;4;4;4;4;2;3;2;4;2;32;3,2;;;;
67;0;;;;;;;;;;;;;;;;;;;3;3;3;3
49;0;3;5;3;4;15;3,75;3;3;2;2;4;3;3;1;3;2;26;2,6;1;1;1;1
57;0;;;;;;;;;;;;;;;;;;;1;1;1;1
57;0;;;;;;;;;;;;;;;;;;;3;3;3;3
68;0;;;;;;;;;;;;;;;;;;;3;3;3;3
74;0;2;4;2;4;12;3;4;3;3;3;4;2;4;3;4;2;32;3,2;1;;;
42;0;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;3;3;;3
64;0;;;;;;;;;;;;;;;;;;;2;3;2;3
68;0;;;;;;;;;;;;;;;;;;;3;;;
58;0;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;1;3;3;3
44;1;;;;;;;;;;;;;;;;;;;2;2;2;2
25;0;;;;;;;;;;;;;;;;;;;2;2;2;
53;0;4;4;4;5;17;4,25;4;3;4;5;5;3;4;3;3;2;36;3,6;;;;
57;0;;;;;;;;;;;;;;;;;;;2;2;3;2
39;0;;;;;;;;;;;;;;;;;;;1;1;1;1
65;1;4;2;4;4;14;3,5;2;2;4;4;4;2;4;2;2;2;28;2,8;1;1;1;
65;0;4;4;4;5;17;4,25;4;3;4;4;4;4;4;3;5;1;36;3,6;3;2;;
42;1;2;3;3;4;12;3;1;1;2;3;5;2;3;2;4;1;24;2,4;2;2;2;2
24;0;2;4;3;4;13;3,25;4;4;4;5;5;4;4;4;4;3;41;4,1;3;3;3;3
69;1;4;5;4;1;14;3,5;4;4;4;4;5;3;5;4;3;3;39;3,9;2;3;2;2
52;1;;;;;;;;;;;;;;;;;;;1;3;3;
46;1;;;;;;;;;;;;;;;;;;;;;;
53;0;;;;;;;;;;;;;;;;;;;1;2;1;2
33;1;3;4;4;3;14;3,5;2;3;3;3;3;3;3;3;3;3;29;2,9;2;2;2;2
55;1;;;;;;;;;;;;;;;;;;;3;;;
65;1;;;;;;;;;;;;;;;;;;;3;3;3;
61;1;;;;;;;;;;;;;;;;;;;1;1;1;1
60;1;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;;;;
66;1;3;4;3;4;14;3,5;3;3;3;2;5;1;3;3;2;2;27;2,7;3;3;;
51;0;5;5;5;5;20;5;4;3;3;3;5;2;4;2;4;2;32;3,2;1;1;1;
63;1;4;3;5;3;15;3,75;4;4;5;5;5;3;4;5;5;3;43;4,3;1;1;1;2
36;0;2;3;5;4;14;3,5;4;4;5;5;5;3;3;2;5;2;38;3,8;3;;;
65;1;;;;;;;;;;;;;;;;;;;3;;;
53;0;;;;;;;;;;;;;;;;;;;;;;
34;0;3;3;4;3;13;3,25;3;4;4;3;4;3;2;4;3;2;32;3,2;3;;;
26;1;;;;;;;;;;;;;;;;;;;;;;
55;1;5;4;4;4;17;4,25;3;5;4;4;5;3;5;3;5;3;40;4;2;2;2;2
65;0;4;4;4;4;16;4;3;2;2;2;3;2;3;5;3;1;26;2,6;1;;;
57;1;;;;;;;;;;;;;;;;;;;1;3;1;
61;1;;;;;;;;;;;;;;;;;;;2;2;2;2
29;1;;;;;;;;;;;;;;;;;;;2;2;2;1
33;1;4;4;4;4;16;4;1;2;3;4;4;1;3;1;3;1;23;2,3;1;1;1;1
51;1;;;;;;;;;;;;;;;;;;;2;3;3;3
57;1;2;3;2;3;10;2,5;2;1;1;2;2;2;2;1;3;1;17;1,7;1;1;1;1
37;0;;;;;;;;;;;;;;;;;;;2;;;
31;1;;;;;;;;;;;;;;;;;;;2;1;1;2
38;0;;;;;;;;;;;;;;;;;;;1;1;1;1
54;1;3;3;4;4;14;3,5;3;3;2;2;3;2;3;2;2;2;24;2,4;1;1;3;1
47;0;;;;;;;;;;;;;;;;;;;3;2;2;2
70;1;2;3;2;3;10;2,5;2;1;2;4;5;2;2;1;3;1;23;2,3;;;;
75;1;;;;;;;;;;;;;;;;;;;2;;;
56;0;4;4;5;4;17;4,25;5;5;5;5;5;4;5;5;1;5;45;4,5;3;3;3;3
49;0;;;;;;;;;;;;;;;;;;;1;2;2;
73;1;;;;;;;;;;;;;;;;;;;3;3;3;3
46;0;5;2;3;4;14;3,5;2;1;2;2;3;1;2;1;3;2;19;1,9;1;1;1;
27;0;2;2;2;4;10;2,5;4;2;5;2;2;4;2;4;4;2;31;3,1;;;;
31;0;3;4;5;5;17;4,25;2;2;2;2;5;5;5;2;4;2;31;3,1;;;;
27;1;;;;;;;;;;;;;;;;;;;3;2;2;2
51;1;5;4;5;4;18;4,5;2;3;4;4;5;2;4;2;3;2;31;3,1;1;1;2;2
57;1;;;;;;;;;;;;;;;;;;;;;;
45;1;2;4;2;4;12;3;3;2;3;4;4;3;3;3;3;1;29;2,9;;;;
58;1;;;;;;;;;;;;;;;;;;;3;3;3;3
37;1;;;;;;;;;;;;;;;;;;;3;3;3;
62;1;2;3;3;3;11;2,75;4;3;3;3;4;3;3;4;3;2;32;3,2;;;;
64;0;4;2;4;5;15;3,75;3;2;5;3;4;4;4;2;5;2;34;3,4;2;2;2;
41;0;;;;;;;;;;;;;;;;;;;;;;
34;1;;;;;;;;;;;;;;;;;;;3;;;
52;0;;;;;;;;;;;;;;;;;;;3;3;3;3
37;1;;;;;;;;;;;;;;;;;;;;;;
39;1;;;;;;;;;;;;;;;;;;;;;;
28;1;;;;;;;;;;;;;;;;;;;1;1;1;1
45;1;2;2;2;2;8;2;1;3;1;3;3;1;3;1;2;1;19;1,9;;;;
37;0;;;;;;;;;;;;;;;;;;;;;;
52;0;;;;;;;;;;;;;;;;;;;1;3;1;3
49;1;4;2;2;4;12;3;2;2;2;2;3;1;3;1;3;1;20;2;1;;;
47;1;;;;;;;;;;;;;;;;;;;1;1;3;2
56;1;;;;;;;;;;;;;;;;;;;3;3;;
65;1;2;3;3;3;11;2,75;2;2;2;2;3;2;3;2;3;2;23;2,3;;;;
41;0;;;;;;;;;;;;;;;;;;;1;1;1;1
39;0;;;;;;;;;;;;;;;;;;;1;1;1;
61;0;;;;;;;;;;;;;;;;;;;3;3;3;3
65;0;5;5;3;5;18;4,5;4;3;3;4;5;2;4;3;4;1;33;3,3;3;2;3;2
34;1;;;;;;;;;;;;;;;;;;;2;;;
51;0;3;4;2;4;13;3,25;3;3;5;3;5;4;3;3;5;2;36;3,6;;;;
61;0;;;;;;;;;;;;;;;;;;;2;1;2;2
64;1;3;1;3;3;10;2,5;2;2;2;2;4;2;3;3;3;1;24;2,4;1;1;1;1
32;1;;;;;;;;;;;;;;;;;;;;;;
29;0;3;4;4;4;15;3,75;1;2;3;2;4;1;4;2;1;1;21;2,1;;;;
42;0;;;;;;;;;;;;;;;;;;;3;;;
35;0;;;;;;;;;;;;;;;;;;;3;3;1;3
60;0;5;5;5;5;20;5;2;3;4;3;4;3;5;2;4;2;32;3,2;3;;;
34;1;;;;;;;;;;;;;;;;;;;;;;
34;0;;;;;;;;;;;;;;;;;;;1;;;
43;0;;;;;;;;;;;;;;;;;;;3;;;
35;0;;;;;;;;;;;;;;;;;;;1;;;
60;1;;;;;;;;;;;;;;;;;;;3;3;3;3
62;1;;;;;;;;;;;;;;;;;;;1;1;1;
42;1;3;3;4;4;14;3,5;3;3;3;3;3;3;3;3;3;3;30;3;;;;
56;1;5;4;5;4;18;4,5;5;4;5;4;5;4;5;3;4;2;41;4,1;3;3;3;3
44;1;3;4;3;5;15;3,75;3;1;2;3;3;1;1;1;1;1;17;1,7;1;1;1;1
52;1;3;4;3;4;14;3,5;3;2;1;3;3;1;3;1;1;4;22;2,2;1;1;1;
53;1;;;;;;;;;;;;;;;;;;;3;;;
28;0;;;;;;;;;;;;;;;;;;;1;1;1;1
34;1;2;4;3;5;14;3,5;3;3;3;4;5;2;4;4;4;2;34;3,4;3;3;3;3
32;1;4;4;5;5;18;4,5;1;1;2;2;4;2;1;1;1;1;16;1,6;;;;
50;0;;;;;;;;;;;;;;;;;;;1;1;1;1
40;0;;;;;;;;;;;;;;;;;;;2;2;2;
53;1;4;4;4;4;16;4;2;2;2;2;2;2;2;2;3;2;21;2,1;1;1;1;1
33;1;;;;;;;;;;;;;;;;;;;;;;
65;1;3;3;3;3;12;3;3;5;5;4;5;4;5;2;4;3;40;4;;;;
49;0;;;;;;;;;;;;;;;;;;;3;3;3;
27;1;5;5;5;1;16;4;4;5;4;5;5;4;5;2;4;2;40;4;;;;
69;1;2;2;3;1;8;2;2;2;3;2;4;3;2;3;3;2;26;2,6;1;1;1;1
34;0;5;5;4;5;19;4,75;1;2;4;2;4;3;4;2;4;1;27;2,7;1;1;1;
65;1;4;4;4;4;16;4;5;4;5;4;5;5;4;4;5;4;45;4,5;;;;
33;1;4;4;3;4;15;3,75;4;3;4;3;3;5;3;3;5;1;34;3,4;;;;
38;0;4;3;5;4;16;4;1;2;2;3;3;2;3;2;3;1;22;2,2;;;;
43;0;4;4;4;4;16;4;1;2;1;2;4;2;3;2;2;1;20;2;;;;
41;0;;;;;;;;;;;;;;;;;;;3;3;3;3
42;1;;;;;;;;;;;;;;;;;;;;;;
38;1;;;;;;;;;;;;;;;;;;;;;;
30;1;4;4;4;4;16;4;3;2;4;3;5;4;4;3;5;1;34;3,4;2;2;2;2
33;1;4;3;4;3;14;3,5;3;3;3;3;3;3;3;3;3;3;30;3;;;;
54;1;5;5;5;2;17;4,25;1;1;2;1;5;1;1;1;2;1;16;1,6;1;1;1;
68;0;;;;;;;;;;;;;;;;;;;3;3;3;3
59;1;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;2;;;
48;1;;;;;;;;;;;;;;;;;;;3;2;3;
43;1;;;;;;;;;;;;;;;;;;;;;;
35;0;3;4;3;2;12;3;5;3;3;4;5;2;5;3;3;4;37;3,7;3;3;3;3
63;1;;;;;;;;;;;;;;;;;;;3;3;;
66;1;;;;;;;;;;;;;;;;;;;3;3;3;3
45;0;;;;;;;;;;;;;;;;;;;1;1;1;1
68;1;3;2;3;4;12;3;5;2;5;3;5;5;3;3;4;2;37;3,7;3;3;3;3
71;1;;;;;;;;;;;;;;;;;;;3;1;1;1
63;0;3;3;3;3;12;3;3;3;3;3;3;3;3;3;3;3;30;3;;;;
59;1;4;3;4;4;15;3,75;3;4;4;4;4;3;4;3;4;3;36;3,6;2;2;2;2
40;0;;;;;;;;;;;;;;;;;;;2;2;2;
67;1;5;5;5;1;16;4;4;5;5;5;5;5;5;5;5;5;49;4,9;2;3;3;3
56;1;4;2;4;5;15;3,75;4;4;1;5;5;4;4;2;5;2;36;3,6;3;3;3;3
46;0;4;3;4;4;15;3,75;3;3;2;3;3;3;3;3;3;2;28;2,8;1;;;
55;1;;;;;;;;;;;;;;;;;;;1;;;
59;0;;;;;;;;;;;;;;;;;;;2;2;2;2
64;1;;;;;;;;;;;;;;;;;;;2;2;2;2
53;0;;;;;;;;;;;;;;;;;;;3;3;3;3
33;0;2;2;3;4;11;2,75;2;1;1;1;4;1;1;2;2;2;17;1,7;1;1;1;1
68;0;5;5;5;5;20;5;2;2;4;3;4;2;4;2;3;1;27;2,7;3;3;3;3
60;0;4;4;4;5;17;4,25;2;2;3;4;5;3;4;4;4;2;33;3,3;1;1;1;1
42;1;;;;;;;;;;;;;;;;;;;2;2;2;2
62;1;;;;;;;;;;;;;;;;;;;3;3;3;3
75;0;;;;;;;;;;;;;;;;;;;3;3;3;3
67;0;;;;;;;;;;;;;;;;;;;;;;
67;1;;;;;;;;;;;;;;;;;;;3;3;3;
62;1;5;1;4;1;11;2,75;5;4;5;4;4;2;4;5;2;4;39;3,9;2;1;2;2
69;1;4;4;4;4;16;4;2;3;5;4;5;3;4;2;2;2;32;3,2;3;3;3;
61;0;;;;;;;;;;;;;;;;;;;3;3;3;3
65;0;5;5;5;5;20;5;5;5;5;4;5;1;5;5;1;1;37;3,7;;;;
63;0;;;;;;;;;;;;;;;;;;;1;1;1;1
27;0;;;;;;;;;;;;;;;;;;;3;1;3;3
68;1;3;4;3;3;13;3,25;4;3;3;3;3;2;3;3;4;2;30;3;1;1;1;1
66;0;;;;;;;;;;;;;;;;;;;3;3;3;3
60;0;;;;;;;;;;;;;;;;;;;3;3;3;3
46;0;4;2;4;4;14;3,5;2;2;2;2;4;2;2;4;3;2;25;2,5;1;1;1;1
42;1;;;;;;;;;;;;;;;;;;;;;;
78;0;;;;;;;;;;;;;;;;;;;3;3;3;3
70;0;;;;;;;;;;;;;;;;;;;1;1;1;1
42;1;;;;;;;;;;;;;;;;;;;2;2;2;2
43;1;4;4;4;4;16;4;3;2;1;3;3;2;3;1;3;2;23;2,3;1;1;1;1
33;0;;;;;;;;;;;;;;;;;;;3;3;2;3
62;1;4;4;2;4;14;3,5;4;4;5;4;4;4;3;4;4;4;40;4;1;1;1;1
63;0;4;2;4;4;14;3,5;3;2;3;2;4;2;2;2;3;3;26;2,6;1;1;1;1
68;1;;;;;;;;;;;;;;;;;;;2;2;2;
68;0;4;5;5;5;19;4,75;3;3;3;3;5;4;3;4;5;2;35;3,5;;;;
68;0;;;;;;;;;;;;;;;;;;;3;3;3;3
68;0;1;1;1;1;4;1;1;1;1;1;1;1;1;5;1;1;14;1,4;1;1;;
68;1;4;5;4;5;18;4,5;3;2;2;2;5;1;2;1;3;3;24;2,4;1;1;1;1
62;1;5;5;5;5;20;5;2;2;4;3;5;3;4;2;4;2;31;3,1;3;;;
58;0;5;4;5;4;18;4,5;2;3;4;4;4;3;4;2;4;2;32;3,2;3;3;;
63;1;5;5;5;5;20;5;5;5;5;5;5;5;4;5;5;5;49;4,9;3;3;3;3
67;1;;;;;;;;;;;;;;;;;;;2;1;1;1
54;0;;;;;;;;;;;;;;;;;;;3;3;3;3
62;0;;;;;;;;;;;;;;;;;;;;;;
59;1;;;;;;;;;;;;;;;;;;;2;2;2;2
59;1;;;;;;;;;;;;;;;;;;;1;1;2;
60;1;4;4;4;4;16;4;3;2;2;2;2;2;2;1;2;1;19;1,9;1;1;1;
54;0;2;2;2;4;10;2,5;1;1;2;2;3;2;2;1;3;1;18;1,8;;;;
32;0;3;3;3;3;12;3;3;3;3;2;3;2;3;3;4;3;29;2,9;2;2;2;2
35;0;5;5;5;1;16;4;1;5;1;5;5;1;5;1;1;5;30;3;1;1;3;1
74;1;4;4;5;5;18;4,5;2;3;3;2;5;1;4;2;4;2;28;2,8;3;2;2;2
69;1;2;4;4;4;14;3,5;5;2;3;4;5;2;2;3;4;1;31;3,1;3;3;3;
76;0;;;;;;;;;;;;;;;;;;;1;;;
67;0;2;4;4;4;14;3,5;5;3;3;4;5;3;3;1;3;2;32;3,2;;;;
70;0;;;;;;;;;;;;;;;;;;;3;3;3;3
72;0;;;;;;;;;;;;;;;;;;;3;3;3;3
65;0;;;;;;;;;;;;;;;;;;;3;3;3;3
71;0;3;2;2;4;11;2,75;5;4;5;5;5;5;4;5;5;5;48;4,8;3;3;;
65;1;3;2;4;4;13;3,25;2;2;2;4;4;2;3;2;2;2;25;2,5;1;1;1;
69;0;3;5;5;5;18;4,5;2;2;4;2;4;3;2;2;4;2;27;2,7;;;;
77;0;;;;;;;;;;;;;;;;;;;3;3;3;
39;0;;;;;;;;;;;;;;;;;;;1;;;
70;0;4;3;3;3;13;3,25;4;3;3;3;4;4;3;4;4;2;34;3,4;3;3;3;
64;0;;;;;;;;;;;;;;;;;;;3;3;3;3
41;1;;;;;;;;;;;;;;;;;;;1;1;;1
64;0;;;;;;;;;;;;;;;;;;;1;;;
74;1;3;3;4;4;14;3,5;4;3;4;4;4;4;3;3;4;1;34;3,4;;;;
62;0;;;;;;;;;;;;;;;;;;;1;1;1;1
67;0;3;5;3;4;15;3,75;3;2;3;2;4;2;3;1;3;1;24;2,4;1;1;;
27;0;2;2;2;5;11;2,75;1;1;4;2;5;3;3;1;3;2;25;2,5;1;1;1;1
48;0;;;;;;;;;;;;;;;;;;;2;;;
56;0;4;5;5;5;19;4,75;3;5;5;5;5;3;4;4;2;2;38;3,8;;;;
43;1;2;2;2;4;10;2,5;3;2;4;2;5;2;3;4;4;2;31;3,1;3;1;1;1
63;0;3;4;3;4;14;3,5;2;1;2;2;3;1;3;1;3;1;19;1,9;1;1;3;1
59;1;;;;;;;;;;;;;;;;;;;3;3;3;3
65;1;;;;;;;;;;;;;;;;;;;;;;
66;0;;;;;;;;;;;;;;;;;;;2;2;2;2
75;0;2;2;2;4;10;2,5;5;2;4;2;5;2;5;2;5;2;34;3,4;;;;
44;0;3;4;4;3;14;3,5;3;2;3;2;5;2;3;3;2;3;28;2,8;1;1;1;
52;0;;;;;;;;;;;;;;;;;;;1;;;
63;1;;;;;;;;;;;;;;;;;;;3;3;3;3
57;1;2;2;2;3;9;2,25;2;2;3;3;4;2;3;3;2;1;25;2,5;;;;
44;0;;;;;;;;;;;;;;;;;;;2;2;3;2
48;0;;;;;;;;;;;;;;;;;;;3;3;3;1
65;0;3;3;4;4;14;3,5;4;3;4;3;4;3;3;4;4;2;34;3,4;;;;
68;0;2;2;4;2;10;2,5;4;2;2;2;4;2;3;2;3;2;26;2,6;;;;
63;0;;;;;;;;;;;;;;;;;;;3;3;3;3
59;0;;;;;;;;;;;;;;;;;;;3;3;;
35;0;2;2;3;4;11;2,75;3;2;3;2;4;2;2;2;3;3;26;2,6;1;1;1;1
54;1;;;;;;;;;;;;;;;;;;;2;;;
44;1;5;5;5;5;20;5;3;1;1;2;3;3;1;1;5;2;22;2,2;1;1;1;1
57;0;;;;;;;;;;;;;;;;;;;1;1;1;1
58;0;5;4;4;4;17;4,25;4;2;3;2;4;2;3;3;3;2;28;2,8;1;1;1;
52;0;5;5;5;5;20;5;3;2;3;3;3;3;2;3;3;3;28;2,8;1;1;1;
42;1;;;;;;;;;;;;;;;;;;;;;;
63;1;3;4;3;5;15;3,75;2;2;2;3;5;3;3;2;4;1;27;2,7;2;2;1;
66;0;2;3;2;3;10;2,5;5;4;5;2;4;5;4;2;5;1;37;3,7;3;3;3;
