age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
69;1;5;4;5;5;19;4,75;4;3;4;3;5;3;3;3;3;2;33;3,3;;;;
51;0;;;;;;;;;;;;;;;;;;;3;;;
63;0;;;;;;;;;;;;;;;;;;;1;2;2;1
69;1;5;4;5;5;19;4,75;4;3;5;4;5;5;3;4;5;2;40;4;2;3;3;3
36;1;;;;;;;;;;;;;;;;;;;2;;;
33;0;3;4;3;3;13;3,25;3;3;3;3;3;3;3;3;3;3;30;3;2;;;
46;0;;;;;;;;;;;;;;;;;;;3;3;3;
34;1;3;3;3;5;14;3,5;3;2;3;3;3;3;3;3;2;1;26;2,6;2;1;1;1
53;0;;;;;;;;;;;;;;;;;;;1;;;
61;0;;;;;;;;;;;;;;;;;;;1;1;1;1
57;1;3;3;3;3;12;3;5;3;3;5;5;2;3;2;2;2;32;3,2;1;1;1;1
84;0;;;;;;;;;;;;;;;;;;;3;3;1;1
43;0;;;;;;;;;;;;;;;;;;;1;3;1;1
56;0;;;;;;;;;;;;;;;;;;;1;1;1;1
57;0;;;;;;;;;;;;;;;;;;;1;1;1;1
36;0;;;;;;;;;;;;;;;;;;;3;3;3;3
70;1;;;;;;;;;;;;;;;;;;;3;3;3;
44;0;3;2;3;3;11;2,75;2;2;3;2;5;2;2;2;3;2;25;2,5;;;;
44;0;4;4;4;4;16;4;5;4;4;4;4;3;4;3;2;3;36;3,6;;;;
60;0;4;3;4;5;16;4;2;2;1;2;2;1;2;3;3;2;20;2;1;;;
40;0;2;1;1;1;5;1,25;3;2;1;2;4;1;2;1;2;1;19;1,9;3;3;3;3
69;1;;;;;;;;;;;;;;;;;;;3;3;3;3
42;0;4;4;3;4;15;3,75;4;3;2;1;5;1;4;1;3;1;25;2,5;1;1;1;1
60;1;;;;;;;;;;;;;;;;;;;1;2;2;2
41;0;;;;;;;;;;;;;;;;;;;1;1;1;
43;0;5;4;3;5;17;4,25;5;5;5;5;5;5;2;1;5;5;43;4,3;;;;
35;0;2;2;2;3;9;2,25;2;2;2;3;5;2;2;4;2;4;28;2,8;1;1;1;1
62;0;3;3;2;4;12;3;2;2;5;3;5;3;4;3;3;1;31;3,1;3;3;3;
64;0;;;;;;;;;;;;;;;;;;;3;;;
55;0;;;;;;;;;;;;;;;;;;;1;1;1;1
49;0;5;5;5;5;20;5;5;5;5;4;5;3;5;3;4;3;42;4,2;3;3;3;
57;0;5;5;5;5;20;5;2;3;2;3;4;1;3;1;1;1;21;2,1;;;;
36;0;;;;;;;;;;;;;;;;;;;1;1;1;
59;1;4;2;3;4;13;3,25;4;3;2;3;4;3;3;2;3;1;28;2,8;3;3;3;
45;0;;;;;;;;;;;;;;;;;;;1;1;1;1
51;0;2;4;4;1;11;2,75;5;4;5;4;5;1;4;2;2;2;34;3,4;3;3;3;3
58;0;;;;;;;;;;;;;;;;;;;2;1;1;1
52;1;;;;;;;;;;;;;;;;;;;1;1;1;
66;0;;;;;;;;;;;;;;;;;;;1;1;1;1
72;0;;;;;;;;;;;;;;;;;;;3;3;3;3
55;1;2;4;3;5;14;3,5;4;1;2;2;5;4;4;3;5;2;32;3,2;3;3;3;3
66;0;;;;;;;;;;;;;;;;;;;1;1;1;1
69;0;4;3;4;4;15;3,75;2;3;4;3;4;2;5;3;3;2;31;3,1;3;3;3;
69;0;;;;;;;;;;;;;;;;;;;1;1;1;
68;0;3;4;3;4;14;3,5;4;4;5;4;5;4;4;5;5;5;45;4,5;1;;;
52;0;3;5;4;4;16;4;2;4;2;4;5;3;3;2;3;4;32;3,2;1;1;1;1
71;0;2;2;3;4;11;2,75;2;3;4;1;5;2;3;3;3;3;29;2,9;;;;
57;0;2;2;4;3;11;2,75;4;2;2;2;4;2;4;2;2;2;26;2,6;1;1;1;1
47;0;5;3;5;5;18;4,5;1;1;1;2;3;1;1;1;1;2;14;1,4;1;1;1;1
70;0;;;;;;;;;;;;;;;;;;;1;1;1;
54;0;4;2;4;4;14;3,5;5;4;5;4;5;3;5;4;4;2;41;4,1;3;3;3;
53;0;2;4;3;4;13;3,25;1;1;4;5;5;3;4;2;3;2;30;3;1;1;1;1
62;1;4;4;4;4;16;4;4;4;5;4;5;4;4;3;4;2;39;3,9;1;1;2;3
54;1;;;;;;;;;;;;;;;;;;;1;1;1;1
61;0;;;;;;;;;;;;;;;;;;;1;1;1;
37;1;4;4;5;5;18;4,5;1;1;1;1;3;1;2;1;3;1;15;1,5;;;;
63;1;3;2;4;4;13;3,25;2;3;2;3;4;2;4;2;2;2;26;2,6;1;;;
52;0;4;5;4;4;17;4,25;3;3;3;4;5;3;3;3;4;2;33;3,3;2;2;2;3
40;0;;;;;;;;;;;;;;;;;;;3;3;1;
59;1;;;;;;;;;;;;;;;;;;;1;1;1;1
59;0;3;4;3;4;14;3,5;2;2;1;3;3;1;2;1;3;1;19;1,9;1;1;1;
65;0;;;;;;;;;;;;;;;;;;;3;3;3;
71;0;;;;;;;;;;;;;;;;;;;1;1;1;
52;0;;;;;;;;;;;;;;;;;;;1;;;
72;0;;;;;;;;;;;;;;;;;;;3;3;3;
53;0;;;;;;;;;;;;;;;;;;;3;3;3;3
71;0;;;;;;;;;;;;;;;;;;;1;1;1;
68;0;5;5;5;5;20;5;5;5;5;2;5;4;5;2;5;2;40;4;3;3;3;3
62;0;2;4;3;4;13;3,25;4;3;3;3;3;2;3;2;4;2;29;2,9;3;3;3;3
53;0;;;;;;;;;;;;;;;;;;;1;1;1;1
49;0;;;;;;;;;;;;;;;;;;;1;1;1;
67;0;;;;;;;;;;;;;;;;;;;1;1;;
40;0;;;;;;;;;;;;;;;;;;;3;3;3;
51;0;5;4;4;2;15;3,75;4;2;5;3;5;3;4;3;3;2;34;3,4;;;;
44;1;;;;;;;;;;;;;;;;;;;1;1;1;
61;0;4;4;3;5;16;4;5;2;5;3;5;1;2;4;4;1;32;3,2;;;;
37;1;;;;;;;;;;;;;;;;;;;1;;;
85;0;2;4;4;4;14;3,5;5;4;2;2;5;4;2;3;3;2;32;3,2;;;;
57;0;3;2;3;3;11;2,75;3;2;3;3;3;2;3;3;3;2;27;2,7;;;;
69;1;;;;;;;;;;;;;;;;;;;3;3;3;2
33;0;4;3;4;3;14;3,5;1;1;1;1;1;1;1;3;1;1;12;1,2;1;;;
41;0;5;4;4;5;18;4,5;2;2;2;3;5;2;3;1;3;1;24;2,4;;;;
62;0;;;;;;;;;;;;;;;;;;;3;3;3;3
76;0;;;;;;;;;;;;;;;;;;;3;1;3;3
68;1;;;;;;;;;;;;;;;;;;;2;1;1;1
40;0;;;;;;;;;;;;;;;;;;;3;;;
75;1;;;;;;;;;;;;;;;;;;;3;;;
31;1;4;3;4;4;15;3,75;2;1;1;2;3;1;2;1;2;1;16;1,6;1;;;
64;1;;;;;;;;;;;;;;;;;;;1;1;1;
56;0;;;;;;;;;;;;;;;;;;;1;1;1;1
36;0;;;;;;;;;;;;;;;;;;;1;;;
66;0;5;5;5;5;20;5;1;1;1;4;4;1;3;2;3;1;21;2,1;1;1;1;1
