V101,veto_app,rep,dem,ind,pres_app,cong_app,ed,ideol,weight,pres_cong_diff,cong_rate,cong_rate2,house_know,senate_know,chamber_know,news_int,pres_bin,cong_bin,col_grad
304050418,2,0,0,1,1,2,3,-2,0.295011674,-1,1,1,1,1,2,4,0,0,0
304959667,1,0,1,0,4,1,5,2,0.087733416,3,1,1,1,1,2,3,1,0,1
302713623,-2,1,0,0,1,2,6,0,0.837646861,-1,1,1,1,1,2,4,0,0,1
303083618,-1,1,0,0,1,1,3,-1,1.797280512,0,1,1,1,1,2,4,0,0,0
303189455,-1,1,0,0,4,1,2,0,0.531100954,3,1,1,1,1,2,3,1,0,0
303460157,-2,1,0,0,1,1,2,0,4.26335229,0,1,1,0,0,0,4,0,0,0
303595850,1,1,0,0,1,1,5,0,0.670181151,0,1,1,1,0,1,4,0,0,1
303605608,2,1,0,0,1,1,5,-2,0.876185615,0,1,1,1,1,2,4,0,0,1
303974312,1,1,0,0,3,1,3,-1,1.052254133,2,1,1,0,1,1,2,1,0,0
302912324,0,1,0,0,1,2,2,-1,0.923898235,-1,1,1,1,1,2,3,0,0,0
304234306,1,1,0,0,1,NA,1,-1,2.591449828,NA,0,0,1,0,1,2,0,NA,0
302958812,2,1,0,0,1,2,4,-2,0.295011674,-1,1,1,1,1,2,4,0,0,0
302964671,-1,1,0,0,3,3,1,-1,4.313696432,0,1,2,0,0,0,1,1,1,0
303051960,2,1,0,0,1,3,5,-1,0.241709311,-2,1,2,1,1,2,4,0,1,1
303298485,2,1,0,0,1,1,3,-2,0.187793933,0,1,1,1,1,2,4,0,0,0
302272213,2,1,0,0,1,3,5,-1,0.627811765,-2,1,2,1,1,2,4,0,1,1
302402531,2,1,0,0,2,1,6,-1,1.337952191,1,1,1,1,0,1,4,0,0,1
302473858,2,1,0,0,1,1,3,-1,0.778750341,0,1,1,1,1,2,4,0,0,0
302535131,1,1,0,0,1,1,5,0,0.973540075,0,1,1,1,1,2,4,0,0,1
302638623,1,1,0,0,2,1,3,-1,1.144084817,1,1,1,1,1,2,4,0,0,0
302879607,NA,1,0,0,2,1,2,0,0.897125956,1,1,1,0,0,0,3,0,0,0
303034163,-1,1,0,0,4,2,2,0,1.773649373,2,1,1,1,1,2,4,1,0,0
303037060,-2,1,0,0,1,2,2,-1,1.539520004,-1,1,1,1,1,2,4,0,0,0
303058561,0,1,0,0,4,1,6,0,0.997371653,3,1,1,1,1,2,4,1,0,1
303131458,2,1,0,0,1,1,5,-2,0.734403248,0,1,1,1,1,2,4,0,0,1
303341564,-2,1,0,0,1,1,5,0,0.402189761,0,1,1,1,1,2,3,0,0,1
303466711,NA,1,0,0,2,NA,1,-1,0.395826979,NA,0,0,0,0,0,NA,0,NA,0
303470265,2,1,0,0,1,2,5,-2,0.618664518,-1,1,1,1,1,2,4,0,0,1
303508264,NA,1,0,0,1,1,5,-2,1.719417144,0,1,1,1,1,2,3,0,0,1
304092389,-1,1,0,0,1,NA,2,0,0.321190079,NA,0,0,0,0,0,2,0,NA,0
304130357,-1,1,0,0,2,3,3,-1,0.687563372,-1,1,2,0,0,0,3,0,1,0
304675142,-2,1,0,0,1,1,2,-1,2.095985463,0,1,1,1,1,2,4,0,0,0
304957225,0,1,0,0,1,1,5,0,0.318844292,0,1,1,1,1,2,3,0,0,1
305332620,2,1,0,0,2,2,2,-1,0.596223885,0,1,1,0,0,0,2,0,0,0
302513430,0,1,0,0,1,2,2,-1,1.04575003,-1,1,1,1,1,2,4,0,0,0
302528228,0,1,0,0,1,2,4,-2,0.810195416,-1,1,1,1,1,2,4,0,0,0
302659786,1,1,0,0,1,1,3,0,1.647930038,0,1,1,1,1,2,4,0,0,0
302759337,1,1,0,0,1,2,3,-1,0.95900389,-1,1,1,1,1,2,4,0,0,0
302770186,NA,1,0,0,1,2,2,-2,1.492360134,-1,1,1,0,1,1,4,0,0,0
302774288,1,1,0,0,1,2,3,-1,1.145707964,-1,1,1,1,1,2,4,0,0,0
302823381,1,1,0,0,1,1,3,-1,1.144084817,0,1,1,1,1,2,4,0,0,0
302876231,-1,1,0,0,3,NA,5,-2,0.432475277,NA,0,0,0,0,0,2,1,NA,1
303016477,-2,1,0,0,1,3,3,-1,1.799830367,-2,1,2,1,0,1,4,0,1,0
303101726,-1,1,0,0,1,2,4,-1,0.444914258,-1,1,1,1,1,2,1,0,0,0
303201592,1,1,0,0,1,2,2,-2,0.895596608,-1,1,1,1,1,2,3,0,0,0
303433488,1,1,0,0,1,1,5,-2,0.518529744,0,1,1,1,1,2,4,0,0,1
303474673,1,1,0,0,1,1,4,-1,0.95900389,0,1,1,1,1,2,4,0,0,0
